country,price-2018,rounded-price
Colombia,2.505913907,2.5
Dominican Republic,3.39105298,3.4
El Salvador,1.645300221,1.6
Guatemala,2.697022075,2.7
Honduras,1.855291391,1.9
Uganda,1.506690949,1.5
Brazil,2.003980132,2
Ethiopia,1.560233996,1.6
India,1.732518764,1.7
Togo,1.565730684,1.6
Uganda,1.263373068,1.3
